,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Population,customer_loyalty,Service_Count,ServiceCategory,Charges per Service,charges Level,Churn_Flag
10,Male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,No,0.0,No phone Service,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,Stayed,Still Customer,Still Customer,1072,Loyal,5,Light Bundle,492.11,Mid Level of charges,0
11,Female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,72,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,Stayed,Still Customer,Still Customer,64010,Loyal,10,Heavy Bundle,845.68,High Level of charges,0
12,Female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,5,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,Stayed,Still Customer,Still Customer,36432,New,3,Light Bundle,117.17,Low Level of charges,0
13,Female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,72,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,Stayed,Still Customer,Still Customer,24005,Loyal,7,Heavy Bundle,1037.32,High Level of charges,0
14,Female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,56,No,0.0,No phone Service,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,Stayed,Still Customer,Still Customer,1317,Loyal,6,Heavy Bundle,426.68,Mid Level of charges,0
15,Female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,71,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,Stayed,Still Customer,Still Customer,8870,Loyal,7,Heavy Bundle,978.49,High Level of charges,0
16,Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,No,0.0,No phone Service,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,Stayed,Still Customer,Still Customer,1885,Established,8,Heavy Bundle,249.15,Mid Level of charges,0
17,Female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,Still Customer,Still Customer,6760,New,3,Light Bundle,24.03,Low Level of charges,0
18,Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,63337,Established,6,Heavy Bundle,465.25,Mid Level of charges,1
19,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,No,0.0,No phone Service,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,41707,New,2,Light Bundle,12.55,Low Level of charges,1
20,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,Yes,31.43,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,Stayed,Still Customer,Still Customer,1968,Loyal,1,Single Service,1306.3,High Level of charges,0
21,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,1943,Growth,6,Heavy Bundle,202.6,Mid Level of charges,1
22,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,Stayed,Still Customer,Still Customer,1054,Growth,4,Light Bundle,462.49,Mid Level of charges,0
23,Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,Yes,3.12,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,Still Customer,Still Customer,71,New,1,Single Service,57.2,Low Level of charges,0
24,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Yes,12.43,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,155,New,1,Single Service,76.35,Low Level of charges,1
25,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,No,0.0,No phone Service,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,234,New,3,Light Bundle,10.17,Low Level of charges,1
26,Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,Stayed,Still Customer,Still Customer,12587,Loyal,8,Heavy Bundle,707.09,Mid Level of charges,0
27,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,Yes,19.7,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,Stayed,Still Customer,Still Customer,30668,Loyal,1,Single Service,1090.6,High Level of charges,0
28,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Yes,37.7,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,Still Customer,Still Customer,4101,Established,1,Single Service,471.85,Mid Level of charges,0
29,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,Yes,38.39,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,Stayed,Still Customer,Still Customer,23570,Loyal,1,Single Service,1396.9,High Level of charges,0
30,Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,Stayed,Still Customer,Still Customer,3064,Established,6,Heavy Bundle,541.26,Mid Level of charges,0
31,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Yes,49.58,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,Stayed,Still Customer,Still Customer,3642,Loyal,1,Single Service,900.9,High Level of charges,0
32,Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7942.15,0.0,0,2888.82,10830.97,Stayed,Still Customer,Still Customer,55668,Loyal,10,Heavy Bundle,794.21,Mid Level of charges,0
33,Female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67,Yes,23.12,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,Still Customer,Still Customer,27804,Loyal,1,Single Service,1343.4,High Level of charges,0
34,Male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20,No,0.0,No phone Service,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,Stayed,Still Customer,Still Customer,41476,Growth,5,Light Bundle,165.08,Low Level of charges,0
35,Female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43,Yes,30.64,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,Stayed,Still Customer,Still Customer,5671,Established,1,Single Service,1070.15,High Level of charges,0
36,Female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,55,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,Stayed,Still Customer,Still Customer,30814,Loyal,5,Light Bundle,991.92,High Level of charges,0
37,Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,Stayed,Still Customer,Still Customer,58198,Loyal,6,Heavy Bundle,932.94,High Level of charges,0
38,Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12,Yes,19.28,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,Stayed,Still Customer,Still Customer,78114,Early,1,Single Service,224.5,Mid Level of charges,0
39,Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.02,2611.02,Stayed,Still Customer,Still Customer,1195,Established,3,Light Bundle,643.0,Mid Level of charges,0
40,Male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,47224,New,4,Light Bundle,22.78,Low Level of charges,1
41,Female,20,No,0,Fremont,94539,37.516791,-121.899117,0,27,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.52,Stayed,Still Customer,Still Customer,46917,Established,9,Heavy Bundle,230.99,Mid Level of charges,0
42,Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25,Yes,23.69,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,Still Customer,Still Customer,22250,Established,1,Single Service,630.6,Mid Level of charges,0
43,Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,Stayed,Still Customer,Still Customer,27023,Established,6,Heavy Bundle,268.5,Mid Level of charges,0
44,Male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29,No,0.0,No phone Service,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,Stayed,Still Customer,Still Customer,26753,Established,6,Heavy Bundle,207.08,Mid Level of charges,0
45,Male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,72,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.12,Stayed,Still Customer,Still Customer,36718,Loyal,9,Heavy Bundle,701.8,Mid Level of charges,0
46,Female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,Stayed,Still Customer,Still Customer,45755,Growth,4,Light Bundle,181.96,Low Level of charges,0
47,Female,38,No,0,El Portal,95318,37.654551,-119.822984,0,35,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,Stayed,Still Customer,Still Customer,579,Established,8,Heavy Bundle,441.5,Mid Level of charges,0
48,Male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,Joined,Still Customer,Still Customer,7384,New,3,Light Bundle,14.77,Low Level of charges,0
49,Male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20,59.45,2687.05,Stayed,Still Customer,Still Customer,596,Established,6,Heavy Bundle,434.6,Mid Level of charges,0
50,Male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,64,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,Stayed,Still Customer,Still Customer,2595,Loyal,7,Heavy Bundle,795.36,Mid Level of charges,0
51,Female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,39,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0,950.82,4718.22,Stayed,Still Customer,Still Customer,1332,Established,7,Heavy Bundle,538.2,Mid Level of charges,0
52,Female,72,No,0,Ojai,93023,34.581308,-118.931948,0,40,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,Stayed,Still Customer,Still Customer,21633,Established,5,Light Bundle,734.72,Mid Level of charges,0
53,Male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices,5529,Established,8,Heavy Bundle,504.61,Mid Level of charges,1
54,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,57146,Early,5,Light Bundle,224.06,Mid Level of charges,1
55,Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0,255.96,570.51,Stayed,Still Customer,Still Customer,1004,New,3,Light Bundle,104.85,Low Level of charges,0
56,Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,Stayed,Still Customer,Still Customer,35057,Established,6,Heavy Bundle,314.74,Mid Level of charges,0
57,Male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27,Yes,20.66,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,Stayed,Still Customer,Still Customer,26389,Established,1,Single Service,529.8,Mid Level of charges,0
58,Male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,70,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,Stayed,Still Customer,Still Customer,53323,Loyal,7,Heavy Bundle,1044.14,High Level of charges,0
59,Female,20,Yes,0,Modesto,95357,37.670526,-120.877572,10,57,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0,456.57,6709.27,Stayed,Still Customer,Still Customer,13343,Loyal,9,Heavy Bundle,694.74,Mid Level of charges,0
60,Male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,58,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,Stayed,Still Customer,Still Customer,47431,Loyal,4,Light Bundle,719.64,Mid Level of charges,0
61,Male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,Stayed,Still Customer,Still Customer,41263,Growth,7,Heavy Bundle,173.16,Low Level of charges,0
62,Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0,2657.88,10840.73,Stayed,Still Customer,Still Customer,1653,Loyal,10,Heavy Bundle,818.29,High Level of charges,0
63,Male,32,No,0,West Point,95255,38.41935,-120.469545,0,1,Yes,31.77,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.62,Churned,Attitude,Attitude of support person,2198,New,1,Single Service,19.85,Low Level of charges,1
64,Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,Churned,Competitor,Competitor had better devices,29299,New,7,Heavy Bundle,14.25,Low Level of charges,1
65,Male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,9,32,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0,1019.52,3880.97,Stayed,Still Customer,Still Customer,3499,Established,7,Heavy Bundle,408.78,Mid Level of charges,0
66,Male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,16,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0,779.36,2221.56,Stayed,Still Customer,Still Customer,291,Growth,5,Light Bundle,288.44,Mid Level of charges,0
67,Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds,413,Loyal,9,Heavy Bundle,451.04,Mid Level of charges,1
68,Female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,71,No,0.0,No phone Service,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0,0.0,4145.9,Stayed,Still Customer,Still Customer,6526,Loyal,8,Heavy Bundle,518.24,Mid Level of charges,0
69,Female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,33,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0,1639.77,5285.27,Stayed,Still Customer,Still Customer,459,Established,8,Heavy Bundle,455.69,Mid Level of charges,0
70,Female,21,Yes,0,Klamath,95548,41.572813,-124.035011,9,10,Yes,49.6,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0.0,0,496.0,683.75,Stayed,Still Customer,Still Customer,1215,Early,1,Single Service,187.75,Low Level of charges,0
71,Male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,21,Yes,36.26,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,120,761.46,3198.56,Churned,Attitude,Attitude of service provider,3258,Growth,8,Heavy Bundle,289.64,Mid Level of charges,1
72,Male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,37,No,0.0,No phone Service,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0,0.0,1448.8,Churned,Competitor,Competitor offered more data,3641,Established,5,Light Bundle,289.76,Mid Level of charges,1
